netflix_titles.csv/show_id,netflix_titles.csv/type,netflix_titles.csv/title,netflix_titles.csv/director,netflix_titles.csv/cast,netflix_titles.csv/country,netflix_titles.csv/date_added,netflix_titles.csv/release_year,netflix_titles.csv/rating,netflix_titles.csv/duration,netflix_titles.csv/listed_in,netflix_titles.csv/description
b's1',b'Movie',b'Dick Johnson Is Dead',b'Kirsten Johnson',,b'United States',2021-09-25,2020,b'PG-13',b'90 min',b'Documentaries',"b'As her father nears the end of his life, filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable.'"
b's2',b'TV Show',b'Blood & Water',,"b'Ama Qamata, Khosi Ngema, Gail Mabalane, Thabang Molaba, Dillon Windvogel, Natasha Thahane, Arno Greeff, Xolile Tshabalala, Getmore Sithole, Cindy Mahlangu, Ryle De Morny, Greteli Fincham, Sello Maake Ka-Ncube, Odwa Gwanya, Mekaila Mathys, Sandi Schultz, Duane Williams, Shamilla Miller, Patrick Mofokeng'",b'South Africa',2021-09-24,2021,b'TV-MA',b'2 Seasons',"b'International TV Shows, TV Dramas, TV Mysteries'","b'After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth.'"
b's3',b'TV Show',b'Ganglands',b'Julien Leclercq',"b'Sami Bouajila, Tracy Gotoas, Samuel Jouy, Nabiha Akkari, Sofia Lesaffre, Salim Kechiouche, Noureddine Farihi, Geert Van Rampelberg, Bakary Diombera'",,2021-09-24,2021,b'TV-MA',b'1 Season',"b'Crime TV Shows, International TV Shows, TV Action & Adventure'","b'To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war.'"
b's4',b'TV Show',b'Jailbirds New Orleans',,,,2021-09-24,2021,b'TV-MA',b'1 Season',"b'Docuseries, Reality TV'","b'Feuds, flirtations and toilet talk go down among the incarcerated women at the Orleans Justice Center in New Orleans on this gritty reality series.'"
b's5',b'TV Show',b'Kota Factory',,"b'Mayur More, Jitendra Kumar, Ranjan Raj, Alam Khan, Ahsaas Channa, Revathi Pillai, Urvi Singh, Arun Kumar'",b'India',2021-09-24,2021,b'TV-MA',b'2 Seasons',"b'International TV Shows, Romantic TV Shows, TV Comedies'","b'In a city of coaching centers known to train India\xe2\x80\x99s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life.'"
b's6',b'TV Show',b'Midnight Mass',b'Mike Flanagan',"b'Kate Siegel, Zach Gilford, Hamish Linklater, Henry Thomas, Kristin Lehman, Samantha Sloyan, Igby Rigney, Rahul Kohli, Annarah Cymone, Annabeth Gish, Alex Essoe, Rahul Abburi, Matt Biedel, Michael Trucco, Crystal Balint, Louis Oliver'",,2021-09-24,2021,b'TV-MA',b'1 Season',"b'TV Dramas, TV Horror, TV Mysteries'","b'The arrival of a charismatic young priest brings glorious miracles, ominous mysteries and renewed religious fervor to a dying town desperate to believe.'"
b's7',b'Movie',b'My Little Pony: A New Generation',"b'Robert Cullen, Jos\xc3\xa9 Luis Ucha'","b'Vanessa Hudgens, Kimiko Glenn, James Marsden, Sofia Carson, Liza Koshy, Ken Jeong, Elizabeth Perkins, Jane Krakowski, Michael McKean, Phil LaMarr'",,2021-09-24,2021,b'PG',b'91 min',b'Children & Family Movies',"b""Equestria's divided. But a bright-eyed hero believes Earth Ponies, Pegasi and Unicorns should be pals \xe2\x80\x94 and, hoof to heart, she\xe2\x80\x99s determined to prove it."""
b's8',b'Movie',b'Sankofa',b'Haile Gerima',"b'Kofi Ghanaba, Oyafunmike Ogunlano, Alexandra Duah, Nick Medley, Mutabaruka, Afemo Omilami, Reggie Carter, Mzuri'","b'United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia'",2021-09-24,1993,b'TV-MA',b'125 min',"b'Dramas, Independent Movies, International Movies'","b'On a photo shoot in Ghana, an American model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past.'"
b's9',b'TV Show',b'The Great British Baking Show',b'Andy Devonshire',"b'Mel Giedroyc, Sue Perkins, Mary Berry, Paul Hollywood'",b'United Kingdom',2021-09-24,2021,b'TV-14',b'9 Seasons',"b'British TV Shows, Reality TV'","b""A talented batch of amateur bakers face off in a 10-week competition, whipping up their best dishes in the hopes of being named the U.K.'s best."""
b's10',b'Movie',b'The Starling',b'Theodore Melfi',"b""Melissa McCarthy, Chris O'Dowd, Kevin Kline, Timothy Olyphant, Daveed Diggs, Skyler Gisondo, Laura Harrier, Rosalind Chao, Kimberly Quinn, Loretta Devine, Ravi Kapoor""",b'United States',2021-09-24,2021,b'PG-13',b'104 min',"b'Comedies, Dramas'","b""A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden \xe2\x80\x94 and a husband who's struggling to find a way forward."""
